id,name,x,y,player_id,rank,unknown
298,Barbarian+village,515,516,0,21,0
299,Bonus+village,503,517,0,21,4
300,Emanuela+Zidars+village,473,505,11382019,180,0
301,Barbarian+village,546,484,0,21,0
302,kadilecs+village,470,512,11382866,137,0
303,Barbarian+village,510,527,0,27,0
304,Bonus+village,457,536,0,21,3
305,minjahas+village,469,499,11388962,178,0
306,Barbarian+village,512,479,0,21,0
307,bosko262s+village,469,511,11484597,21,0
308,Bonus+village,491,506,0,21,2
309,Wandering+Fellows+village,472,476,388007,148,0
310,Bonus+village,537,492,0,21,9
311,rara+avis+in+terris,470,483,407231,168,0
312,DIGITAL-ZONAs+village,467,491,11382012,70,0
313,Barbarian+village,510,566,0,21,0
314,sami+protiv+svihs+village,469,485,322742,131,0
315,Wrath+is+King,465,470,1089940,164,0
316,Jdog.s+village,474,475,2020285,70,0
317,Barbarian+village,541,548,0,21,0
318,javaman5s+village,474,486,9000604,21,0
319,Bay+Max+16s+village,487,479,9890194,21,0
320,Grandsmacks+village,476,470,9906283,191,0
321,Invincible+Empires+village,466,468,9930009,182,0
322,Barbarian+village,523,490,0,27,0
323,001%3AScorpius,468,477,10303046,144,0
324,re+robertums+village,472,499,10363081,95,0
325,Barbarian+village,512,575,0,22,0
326,RedRoosters+village,487,482,10404773,181,0
327,0001+Wandering+Fingers,469,480,11232505,167,0
328,Barbarian+village,458,514,0,21,0
329,def+MyVillage%28%29%3A,467,467,11462251,158,0
330,Bonus+village,442,471,0,21,9
331,001+Veni+Vidi+Vici,459,478,11477455,73,0
332,Barbarian+village,545,486,0,27,0
333,SharppShootas+village,474,466,11483213,139,0
334,Barbarian+village,476,503,0,21,0
335,steve+masters+village,457,467,11496306,109,0
336,hampzs+village,454,490,11499444,177,0
337,Barbarian+village,522,431,0,27,0
338,Bonus+village,488,446,0,23,7
339,Vimaranes,465,456,11557775,181,0
340,Palpatine,484,476,11600133,128,0
341,Greek+Legends+village,480,455,848970439,105,0
342,danielvrb06090s+village,484,487,848999902,21,0
343,Barbarian+village,493,502,0,21,0
344,001,489,467,849049459,162,0
345,Hermione,469,456,849059030,192,0
346,Barbarian+village,538,478,0,21,0
347,NoNammees+village,461,474,849061512,21,0
